,pv_count,pv_ratio,visit_count,visitor_count,new_visitor_count,new_visitor_ratio,ip_count,bounce_ratio,avg_visit_time,avg_visit_pages,trans_count,trans_ratio,visitor,date
0,208,13.75,5,2,2,100,1,40.0,1189,41.6,--,--,new,2020/04/01
1,111,7.34,3,3,3,100,3,33.33,729,37.0,--,--,new,2019/05/06
2,79,5.22,6,6,6,100,4,33.33,1209,13.17,--,--,new,2019/03/27
3,70,4.63,3,1,1,100,1,0.0,2836,23.33,--,--,new,2019/11/18
4,51,3.37,2,1,1,100,1,0.0,4388,25.5,--,--,new,2019/12/07
5,44,2.91,9,6,6,100,4,66.67,425,4.89,--,--,new,2020/02/28
6,40,2.64,7,6,6,100,5,57.14,286,5.71,--,--,new,2019/06/05
7,37,2.45,2,2,2,100,2,50.0,886,18.5,--,--,new,2019/08/12
8,29,1.92,4,3,3,100,2,50.0,1182,7.25,--,--,new,2019/11/26
9,28,1.85,1,1,1,100,1,0.0,3854,28.0,--,--,new,2019/09/08
10,25,1.65,9,8,8,100,9,55.56,182,2.78,--,--,new,2019/03/05
11,23,1.52,8,8,8,100,7,87.5,339,2.88,--,--,new,2019/06/25
12,22,1.45,4,4,4,100,4,50.0,305,5.5,--,--,new,2020/01/08
13,22,1.45,3,1,1,100,1,33.33,599,7.33,--,--,new,2020/03/20
14,22,1.45,2,1,1,100,1,0.0,2613,11.0,--,--,new,2019/11/08
15,21,1.39,4,4,4,100,4,50.0,783,5.25,--,--,new,2019/12/24
16,20,1.32,5,5,5,100,4,40.0,521,4.0,--,--,new,2020/01/09
17,20,1.32,2,1,1,100,1,50.0,4432,10.0,--,--,new,2020/02/14
18,20,1.32,5,3,3,100,4,0.0,128,4.0,--,--,new,2019/04/03
19,18,1.19,2,2,2,100,2,50.0,470,9.0,--,--,new,2019/11/06
20,17,1.12,3,2,2,100,2,66.67,729,5.67,--,--,new,2019/08/06
21,17,1.12,2,2,2,100,1,50.0,572,8.5,--,--,new,2020/03/13
22,16,1.06,2,2,2,100,1,50.0,1696,8.0,--,--,new,2019/08/24
23,16,1.06,2,2,2,100,1,50.0,1901,8.0,--,--,new,2019/11/14
24,16,1.06,1,1,1,100,1,0.0,833,16.0,--,--,new,2020/01/07
25,15,0.99,1,1,1,100,1,0.0,313,15.0,--,--,new,2019/09/17
26,14,0.93,2,1,1,100,1,50.0,985,7.0,--,--,new,2019/04/01
27,13,0.86,2,2,2,100,2,0.0,258,6.5,--,--,new,2019/04/15
28,12,0.79,1,1,1,100,1,0.0,685,12.0,--,--,new,2019/07/16
29,12,0.79,2,1,1,100,1,0.0,369,6.0,--,--,new,2019/09/17
30,11,0.73,1,1,1,100,1,0.0,236,11.0,--,--,new,2019/07/11
31,11,0.73,2,2,2,100,2,50.0,36,5.5,--,--,new,2019/05/29
32,11,0.73,3,3,3,100,3,66.67,23,3.67,--,--,new,2019/05/08
33,11,0.73,3,3,3,100,3,66.67,43,3.67,--,--,new,2019/05/11
34,10,0.66,2,2,2,100,2,50.0,52,5.0,--,--,new,2019/04/30
35,10,0.66,2,2,2,100,2,50.0,15,5.0,--,--,new,2019/04/18
36,10,0.66,2,2,2,100,1,50.0,30,5.0,--,--,new,2019/05/23
37,10,0.66,2,2,2,100,1,50.0,22,5.0,--,--,new,2019/05/17
38,10,0.66,2,2,2,100,2,50.0,27,5.0,--,--,new,2019/05/14
39,10,0.66,2,2,2,100,2,50.0,14,5.0,--,--,new,2019/04/24
40,9,0.59,2,1,1,100,1,0.0,806,4.5,--,--,new,2020/03/21
41,9,0.59,1,1,1,100,1,0.0,60,9.0,--,--,new,2019/04/27
42,9,0.59,2,2,2,100,2,50.0,20,4.5,--,--,new,2019/04/06
43,9,0.59,2,2,2,100,1,0.0,987,4.5,--,--,new,2019/11/19
44,9,0.59,1,1,1,100,1,0.0,15,9.0,--,--,new,2019/06/10
45,9,0.59,2,2,2,100,2,50.0,14,4.5,--,--,new,2019/05/02
46,9,0.59,1,1,1,100,1,0.0,287,9.0,--,--,new,2019/03/13
47,8,0.53,4,4,4,100,4,75.0,379,2.0,--,--,new,2019/03/12
48,8,0.53,4,3,3,100,4,75.0,120,2.0,--,--,new,2019/11/23
49,7,0.46,1,1,1,100,1,0.0,108,7.0,--,--,new,2020/02/29
50,7,0.46,1,1,1,100,1,0.0,760,7.0,--,--,new,2019/03/03
51,7,0.46,3,3,3,100,3,33.33,84,2.33,--,--,new,2020/03/30
52,7,0.46,1,1,1,100,1,0.0,101,7.0,--,--,new,2019/05/07
53,7,0.46,1,1,1,100,1,0.0,62,7.0,--,--,new,2019/03/30
54,7,0.46,3,2,2,100,2,66.67,500,2.33,--,--,new,2020/01/17
55,6,0.4,1,1,1,100,1,0.0,137,6.0,--,--,new,2019/05/22
56,6,0.4,2,2,2,100,2,50.0,96,3.0,--,--,new,2019/09/10
57,6,0.4,1,1,1,100,1,0.0,366,6.0,--,--,new,2020/02/11
58,6,0.4,1,1,1,100,1,0.0,2054,6.0,--,--,new,2019/11/20
59,6,0.4,5,4,4,100,2,80.0,507,1.2,--,--,new,2019/03/11
60,6,0.4,1,1,1,100,1,0.0,454,6.0,--,--,new,2019/08/13
61,5,0.33,5,5,5,100,5,100.0,120,1.0,--,--,new,2019/06/14
62,5,0.33,1,1,1,100,1,0.0,67,5.0,--,--,new,2019/08/29
63,5,0.33,1,1,1,100,1,0.0,946,5.0,--,--,new,2019/10/21
64,5,0.33,3,3,3,100,2,66.67,123,1.67,--,--,new,2019/03/02
65,5,0.33,2,2,2,100,1,50.0,90,2.5,--,--,new,2019/09/06
66,5,0.33,2,2,2,100,2,50.0,44,2.5,--,--,new,2019/05/20
67,5,0.33,1,1,1,100,1,0.0,129,5.0,--,--,new,2019/09/11
68,5,0.33,1,1,1,100,1,0.0,968,5.0,--,--,new,2019/12/05
69,4,0.26,4,4,4,100,1,100.0,120,1.0,--,--,new,2019/12/16
70,4,0.26,2,2,2,100,2,50.0,4,2.0,--,--,new,2019/05/26
71,4,0.26,1,1,1,100,1,0.0,1278,4.0,--,--,new,2019/08/16
72,4,0.26,3,3,3,100,3,66.67,97,1.33,--,--,new,2019/08/19
73,4,0.26,4,4,4,100,3,100.0,67,1.0,--,--,new,2019/11/04
74,4,0.26,4,4,4,100,1,100.0,120,1.0,--,--,new,2019/12/28
75,4,0.26,2,2,2,100,2,0.0,790,2.0,--,--,new,2019/06/04
