,pv_count,pv_ratio,visit_count,visitor_count,new_visitor_count,new_visitor_ratio,ip_count,avg_visit_time,avg_visit_pages,date,anno_number,disease_number,genedesc_number
0,208,13.75,5,2,2,100,1,1189,41.6,2020-04-01,1499,228,754
1,111,7.34,3,3,3,100,3,729,37.0,2019-05-06,1350,228,717
2,79,5.22,6,6,6,100,4,1209,13.17,2019-03-27,1286,228,703
3,70,4.63,3,1,1,100,1,2836,23.33,2019-11-18,1486,228,754
4,51,3.37,2,1,1,100,1,4388,25.5,2019-12-07,1486,228,754
5,44,2.91,9,6,6,100,4,425,4.89,2020-02-28,1493,228,754
6,40,2.64,7,6,6,100,5,286,5.71,2019-06-05,1362,228,729
7,37,2.45,2,2,2,100,2,886,18.5,2019-08-12,1464,228,743
8,29,1.92,4,3,3,100,2,1182,7.25,2019-11-26,1486,228,754
9,28,1.85,1,1,1,100,1,3854,28.0,2019-09-08,1474,228,753
10,25,1.65,9,8,8,100,9,182,2.78,2019-03-05,1283,228,685
11,23,1.52,8,8,8,100,7,339,2.88,2019-06-25,1385,228,735
12,22,1.45,4,4,4,100,4,305,5.5,2020-01-08,1488,228,754
13,22,1.45,3,1,1,100,1,599,7.33,2020-03-20,1499,228,754
14,22,1.45,2,1,1,100,1,2613,11.0,2019-11-08,1485,228,754
15,21,1.39,4,4,4,100,4,783,5.25,2019-12-24,1486,228,754
16,20,1.32,5,5,5,100,4,521,4.0,2020-01-09,1488,228,754
17,20,1.32,2,1,1,100,1,4432,10.0,2020-02-14,1492,228,754
18,20,1.32,5,3,3,100,4,128,4.0,2019-04-03,1299,228,705
19,18,1.19,2,2,2,100,2,470,9.0,2019-11-06,1485,228,754
20,17,1.12,3,2,2,100,2,729,5.67,2019-08-06,1462,228,743
21,17,1.12,2,2,2,100,1,572,8.5,2020-03-13,1499,228,754
22,16,1.06,2,2,2,100,1,1696,8.0,2019-08-24,1471,228,746
23,16,1.06,2,2,2,100,1,1901,8.0,2019-11-14,1486,228,754
24,16,1.06,1,1,1,100,1,833,16.0,2020-01-07,1488,228,754
25,15,0.99,1,1,1,100,1,313,15.0,2019-09-17,1479,228,753
26,14,0.93,2,1,1,100,1,985,7.0,2019-04-01,1295,228,705
27,13,0.86,2,2,2,100,2,258,6.5,2019-04-15,1324,228,710
28,12,0.79,1,1,1,100,1,685,12.0,2019-07-16,1389,228,738
29,12,0.79,2,1,1,100,1,369,6.0,2019-09-17,1479,228,753
30,11,0.73,1,1,1,100,1,236,11.0,2019-07-11,1387,228,738
31,11,0.73,2,2,2,100,2,36,5.5,2019-05-29,1359,228,728
32,11,0.73,3,3,3,100,3,23,3.67,2019-05-08,1350,228,717
33,11,0.73,3,3,3,100,3,43,3.67,2019-05-11,1354,228,717
34,10,0.66,2,2,2,100,2,52,5.0,2019-04-30,1349,228,717
35,10,0.66,2,2,2,100,2,15,5.0,2019-04-18,1330,228,711
36,10,0.66,2,2,2,100,1,30,5.0,2019-05-23,1358,228,720
37,10,0.66,2,2,2,100,1,22,5.0,2019-05-17,1358,228,719
38,10,0.66,2,2,2,100,2,27,5.0,2019-05-14,1358,228,719
39,10,0.66,2,2,2,100,2,14,5.0,2019-04-24,1343,228,715
40,9,0.59,2,1,1,100,1,806,4.5,2020-03-21,1499,228,754
41,9,0.59,1,1,1,100,1,60,9.0,2019-04-27,1347,228,717
42,9,0.59,2,2,2,100,2,20,4.5,2019-04-06,1305,228,707
43,9,0.59,2,2,2,100,1,987,4.5,2019-11-19,1486,228,754
44,9,0.59,1,1,1,100,1,15,9.0,2019-06-10,1364,228,729
45,9,0.59,2,2,2,100,2,14,4.5,2019-05-02,1349,228,717
46,9,0.59,1,1,1,100,1,287,9.0,2019-03-13,1283,228,703
47,8,0.53,4,4,4,100,4,379,2.0,2019-03-12,1283,228,703
48,8,0.53,4,3,3,100,4,120,2.0,2019-11-23,1486,228,754
49,7,0.46,1,1,1,100,1,108,7.0,2020-02-29,1493,228,754
50,7,0.46,1,1,1,100,1,760,7.0,2019-03-03,1283,228,685
51,7,0.46,3,3,3,100,3,84,2.33,2020-03-30,1499,228,754
52,7,0.46,1,1,1,100,1,101,7.0,2019-05-07,1350,228,717
53,7,0.46,1,1,1,100,1,62,7.0,2019-03-30,1295,228,705
54,7,0.46,3,2,2,100,2,500,2.33,2020-01-17,1489,228,754
55,6,0.4,1,1,1,100,1,137,6.0,2019-05-22,1358,228,720
56,6,0.4,2,2,2,100,2,96,3.0,2019-09-10,1474,228,753
57,6,0.4,1,1,1,100,1,366,6.0,2020-02-11,1492,228,754
58,6,0.4,1,1,1,100,1,2054,6.0,2019-11-20,1486,228,754
59,6,0.4,5,4,4,100,2,507,1.2,2019-03-11,1283,228,703
60,6,0.4,1,1,1,100,1,454,6.0,2019-08-13,1466,228,743
61,5,0.33,5,5,5,100,5,120,1.0,2019-06-14,1380,228,730
62,5,0.33,1,1,1,100,1,67,5.0,2019-08-29,1471,228,751
63,5,0.33,1,1,1,100,1,946,5.0,2019-10-21,1485,228,754
64,5,0.33,3,3,3,100,2,123,1.67,2019-03-02,1283,228,685
65,5,0.33,2,2,2,100,1,90,2.5,2019-09-06,1473,228,753
66,5,0.33,2,2,2,100,2,44,2.5,2019-05-20,1358,228,720
67,5,0.33,1,1,1,100,1,129,5.0,2019-09-11,1474,228,753
68,5,0.33,1,1,1,100,1,968,5.0,2019-12-05,1486,228,754
69,4,0.26,4,4,4,100,1,120,1.0,2019-12-16,1486,228,754
70,4,0.26,2,2,2,100,2,4,2.0,2019-05-26,1358,228,720
71,4,0.26,1,1,1,100,1,1278,4.0,2019-08-16,1466,228,745
72,4,0.26,3,3,3,100,3,97,1.33,2019-08-19,1466,228,745
73,4,0.26,4,4,4,100,3,67,1.0,2019-11-04,1485,228,754
74,4,0.26,4,4,4,100,1,120,1.0,2019-12-28,1486,228,754
75,4,0.26,2,2,2,100,2,790,2.0,2019-06-04,1360,228,729
76,4,0.26,4,4,4,100,1,120,1.0,2019-12-21,1486,228,754
77,4,0.26,1,1,1,100,1,423,4.0,2019-10-07,1485,228,753
78,3,0.2,1,1,1,100,1,36,3.0,2019-03-01,1283,228,685
